corp_name,year,stock_code,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계
HD현대마린엔진,2024,071970,69677171089.0,305809011609.0,183042604600.5,31070772702.5,301269535372.0,484312139972.5
HD현대미포,2022,010620,-42648847500.0,3706329405000.0,2616267711000.0,-113729304000.0,2148204665500.0,4764472376500.0
HD현대미포,2023,010620,-142068946000.0,4020178690500.0,2936161766500.0,-159565644500.0,1984736666500.0,4920898433000.0
HD현대미포,2024,010620,104006981000.0,4601307676000.0,3026638098000.0,74332685000.0,2061672672500.0,5088310770500.0
HD현대에너지솔루션,2022,322000,62500451130.0,1003893866075.5,270511683509.0,93077711501.0,383304170027.5,653815853536.5
HD현대에너지솔루션,2023,322000,-5408965466.0,534074982193.0,129845903348.5,14129410825.0,370762031837.0,500607935185.5
HD현대에너지솔루션,2024,322000,-5631868499.5,413632893228.5,83084888806.0,-2612429173.0,364177100922.5,447261989728.5
HD현대인프라코어,2022,042670,218579451807.0,4480510573760.0,2739926181792.0,307397041071.0,1494204412901.5,4234130594693.5
HD현대인프라코어,2023,042670,344740057295.0,4450539742761.5,2354330338267.0,405145485673.0,1782555724722.5,4136886062989.5
HD현대인프라코어,2024,042670,161084211519.0,3759941658360.0,2219125407471.5,154917810746.5,1827450117162.5,4046575524634.0
HD현대일렉트릭,2022,267260,149144540191.0,1967137400662.0,1428936055339.0,135170353392.5,812653476787.0,2241589532126.0
HD현대일렉트릭,2023,267260,258469562598.0,2702799337370.0,1648426170046.0,311944877828.0,1036391707741.0,2684817877787.0
HD현대일렉트릭,2024,267260,489742365585.0,3157966142310.5,1910883312631.5,662905665879.0,1458707182230.5,3369590494862.0
